id,corner_index,outline,point,type,latitude,longitude,northing,easting,northingWGS84,eastingWGS84,license_id
394,NULL,1,6,I,18.41666667,72,2038908.086,816950.3404,2038908.086,816950.3404,1502652263
395,NULL,1,1,I,18.41666667,70.91666667,2037354.997,702451.9139,2037354.997,702451.9139,1502652263
396,NULL,1,1,I,15.51194444,81.30361111,1714973.677,532561.6398,1714973.677,532561.6398,1078992168
397,NULL,1,2,I,15.70777778,81.24027778,1736626.434,525744.793,1736626.434,525744.793,1078992168
398,NULL,1,3,I,15.61361111,81.02777778,1726196.147,502977.6324,1726196.147,502977.6324,1078992168
399,NULL,1,4,I,15.60083333,81.02333333,1724782.734,502501.366,1724782.734,502501.366,1078992168
400,NULL,1,5,I,15.58527778,80.96111111,1723062.373,495830.7425,1723062.373,495830.7425,1078992168
401,NULL,1,6,I,15.52861111,80.83666667,1716800.781,482484.3071,1716800.781,482484.3071,1078992168
402,NULL,1,7,I,15.31472222,80.97166667,1693136.35,496958.4559,1693136.35,496958.4559,1078992168
403,NULL,1,8,I,15.51194444,81.30361111,1714973.677,532561.6398,1714973.677,532561.6398,1078992168
404,NULL,1,10,I,20.83333333,68.75,2303722.544,473989.0016,2303722.544,473989.0016,1090935434
405,NULL,1,2,I,20.83333333,69,2303702.362,500000,2303702.362,500000,1090935434
406,NULL,1,3,I,20.73333333,69.125,2292640.393,513014.0433,2292640.393,513014.0433,1090935434
407,NULL,1,4,I,20.65,69.14333333,2283419.557,514930.9244,2283419.557,514930.9244,1090935434
408,NULL,1,5,I,20.65,69.38333333,2283460.08,539931.7358,2283460.08,539931.7358,1090935434
409,NULL,1,6,I,20.27333333,69.46666667,2241797.61,548731.3723,2241797.61,548731.3723,1090935434
410,NULL,1,7,I,20.27333333,69.38333333,2241775.243,540029.2314,2241775.243,540029.2314,1090935434
411,NULL,1,8,I,20,69.4125,2211534.434,543149.9438,2211534.434,543149.9438,1090935434
412,NULL,1,9,I,20,68.75,2211500.821,473848.6291,2211500.821,473848.6291,1090935434
413,NULL,1,1,I,20.83333333,68.75,2303722.544,473989.0016,2303722.544,473989.0016,1090935434
414,NULL,1,7,I,21.75,66.41666667,2407388.932,232815.1902,2407388.932,232815.1902,1091115691
415,NULL,1,2,I,21.75,67,2406493.934,293167.7541,2406493.934,293167.7541,1091115691
416,NULL,1,3,I,22.19444444,67,2455709.272,293810.7968,2455709.272,293810.7968,1091115691
417,NULL,1,4,I,22.19444444,67.7875,2454849.127,375009.3486,2454849.127,375009.3486,1091115691
418,NULL,1,5,I,20.83333333,67.7875,2304177.172,373839.8759,2304177.172,373839.8759,1091115691
419,NULL,1,6,I,20.83333333,66.41666667,2305858.931,231151.8094,2305858.931,231151.8094,1091115691
420,NULL,1,1,I,21.75,66.41666667,2407388.932,232815.1902,2407388.932,232815.1902,1091115691
421,NULL,1,1,I,20.83333333,67.5,2304429.096,343920.9713,2304429.096,343920.9713,810504720
422,NULL,1,2,I,20.83333333,67.7875,2304177.172,373839.8759,2304177.172,373839.8759,810504720
423,NULL,1,3,I,21.16666667,67.7875,2341074.268,374119.739,2341074.268,374119.739,810504720
424,NULL,1,4,I,21.16666667,68.18333333,2340811.462,415217.2431,2340811.462,415217.2431,810504720
425,NULL,1,5,I,21.08333333,68.28333333,2331537.895,425557.655,2331537.895,425557.655,810504720
426,NULL,1,6,I,21.08333333,68.65833333,2331408.477,464510.5785,2331408.477,464510.5785,810504720
427,NULL,1,7,I,20.83333333,69,2303702.362,500000,2303702.362,500000,810504720
428,NULL,1,8,I,20.83333333,68.75,2303722.544,473989.0016,2303722.544,473989.0016,810504720
429,NULL,1,9,I,20,68.75,2211500.821,473848.6291,2211500.821,473848.6291,810504720
430,NULL,1,10,I,20,67.5,2212183.964,343078.3329,2212183.964,343078.3329,810504720
431,NULL,1,11,I,20.83333333,67.5,2304429.096,343920.9713,2304429.096,343920.9713,810504720
432,NULL,1,1,I,16,70.76666667,1769738.907,689044.0203,1769738.907,689044.0203,1091880671
433,NULL,1,2,I,17,70.76666667,1880402.978,688074.5932,1880402.978,688074.5932,1091880671
434,NULL,1,3,I,17,71.95416667,1881927.543,814567.4036,1881927.543,814567.4036,1091880671
435,NULL,1,4,I,16.725,72.05555556,1851635.651,825843.587,1851635.651,825843.587,1091880671
436,NULL,1,5,I,16.41666667,71.93333333,1817293.629,813299.0843,1817293.629,813299.0843,1091880671
437,NULL,1,6,I,16.33333333,72.28333333,1808636.844,850863.453,1808636.844,850863.453,1091880671
438,NULL,1,7,I,16,72.58333333,1772244.861,883600.0039,1772244.861,883600.0039,1091880671
439,NULL,1,8,I,16,70.76666667,1769738.907,689044.0203,1769738.907,689044.0203,1091880671
440,NULL,1,1,I,23.45138889,68.23333333,2593698.322,421692.9028,2593698.322,421692.9028,925494231
441,NULL,1,2,I,23,68.16666667,2543762.447,414596.6214,2543762.447,414596.6214,925494231
442,NULL,1,3,I,22.90166667,68.11861111,2532904.939,409606.122,2532904.939,409606.122,925494231
443,NULL,1,4,I,22.90166667,68.08333333,2532927.035,405987.8753,2532927.035,405987.8753,925494231
444,NULL,1,5,I,22.75,68.08333333,2516136.434,405883.6562,2516136.434,405883.6562,925494231
445,NULL,1,6,I,22.75,68.05,2516157.996,402461.0262,2516157.996,402461.0262,925494231
446,NULL,1,7,I,22.25,68.05,2460806.184,402109.7801,2460806.184,402109.7801,925494231
447,NULL,1,8,I,22.52833333,67.94027778,2491694.115,391019.9665,2491694.115,391019.9665,925494231
448,NULL,1,9,I,22.25,67.79722222,2460991.508,376060.508,2460991.508,376060.508,925494231
449,NULL,1,10,I,22.25,67.43166667,2461336.55,338386.0923,2461336.55,338386.0923,925494231
450,NULL,1,11,I,22.5,67.43166667,2489016.733,338674.5882,2489016.733,338674.5882,925494231
451,NULL,1,12,I,22.5,67.5,2488944.678,345704.8139,2488944.678,345704.8139,925494231
452,NULL,1,13,I,22.68555556,67.5,2509489.573,345911.4978,2509489.573,345911.4978,925494231
453,NULL,1,14,I,22.68555556,67.58333333,2509405.509,354473.2405,2509405.509,354473.2405,925494231
454,NULL,1,15,I,22.90166667,67.58333333,2533333.479,354702.4932,2533333.479,354702.4932,925494231
455,NULL,1,16,I,22.90166667,67.7,2533223.052,366669.6763,2533223.052,366669.6763,925494231
