id,country,area,well_name,field,block,state,latitude,longitude,northing,easting,northingWGS84,eastingWGS84,well_type,location,total_depth,result,rt_elevation,water_depth,ss_wellhead,platform,slot,spheroid,epsg_code,drilling_contractor_id,license_id,operator_id,region_id,rig_id,onhire_date,release_date,spud_date,total_days
1081311266,India,"KG Basin",D4-A1,NULL,KG-DWN-98/1,"Bay of Bengal",15.19888888888889,80.69833333333334,1680346.542,467598.621,467598.621,467598.621,Exploration,Offshore,4080,Drilling,12,1438.6,1,NULL,NULL,NULL,NULL,75,1813496340,72,-46540566,24,NULL,NULL,"2004-04-03 07:00:00.000000",NULL
1082195062,India,"KG Basin",GD-A-2,NULL,NULL,"Bay of Bengal",16.0652944444444,81.9766888888889,1776404.326,604467.789,1776404.326,604467.789,Exploration,Offshore,3800,Drilling,17,650,0,NULL,NULL,NULL,NULL,46,NULL,63,-46540566,102,NULL,NULL,NULL,NULL
1082452820,India,"Mumbai Offshore",BR-DW-1B,NULL,BB-OS-DW-1,Maharashtra,17.7191555555556,70.720025,0,0,1959947.87,682394.89,Planned,Offshore,4100,Drilling,14,1420,0,NULL,NULL,NULL,NULL,73,NULL,63,153800183,25,NULL,NULL,NULL,NULL
1090737962,India,"Mumbai Offshore",BRDW-4-1,NULL,MB-DWN-2000/2,Maharashtra,16.3889527777778,71.0573166666667,1813073.348,719724.648,1813073.348,719724.648,Exploration,Offshore,3350,"Dry Hole P&A",24,2378,1,NULL,NULL,NULL,NULL,10,1091880671,63,153800183,11,"2004-07-24 13:30:00.000000","2004-08-07 22:30:00.000000","2004-07-26 21:00:00.000000",27.5
1090757683,India,"Kutch Offshore",GKDW-A-1,,GK-DW-1,Gujarat,21.992095,67.3214625,2432902.718,326712.382,2432902.718,326712.382,Exploration,Offshore,6030,"Dry Hole P&A",24,1860,1,,NULL,NULL,NULL,10,NULL,63,153800183,11,NULL,NULL,"2003-12-03 16:30:00.000000",NULL
1090818600,India,"Mumbai Offshore",GSDW2A-1,NULL,GS-DWN-2000/1,Maharashtra,20.3036111111111,67.3388583333333,2245952.12,326552.907,2245952.12,326552.907,Exploration,Offshore,3916,"Dry Hole P&A",24,3008,0,NULL,NULL,NULL,NULL,10,NULL,63,153800183,11,NULL,NULL,NULL,NULL
1090846069,India,"Mumbai Offshore",R1-1,NULL,NULL,Maharashtra,16.4363888888889,72.0933333333333,1819586.113,830323.099,1819732.41959416,830368.434248334,Exploration,Offshore,1520,"Dry Hole P&A",24.2,27.1,0,NULL,NULL,NULL,NULL,46,NULL,63,153800183,101,NULL,NULL,"1977-02-23 12:00:00.000000",NULL
1091107990,India,"Kutch Offshore",GSDW-2A-1,NULL,GS-DWN-2000/1,Gujarat,20.303333333333335,67.33916666666666,2245921.047,326584.799,2245921.047,326584.799,Exploration,Offshore,3916,"Dry Hole P&A",24,3008,1,NULL,NULL,NULL,NULL,10,NULL,63,153800183,11,"2004-07-07 21:00:00.000000","2004-07-21 17:30:00.000000","2004-07-09 09:30:00.000000",NULL
1091205139,India,"Kutch Offshore",GSDW5-1,NULL,GS-DWN-2000/2,Gujarat,20.0287666666667,68.6694583333333,2214698.785,465429.751,2214698.785,465429.751,Exploration,Offshore,3838,"Dry Hole P&A",24,2543,1,NULL,NULL,NULL,NULL,10,810504720,63,153800183,11,"2004-08-09 21:00:00.000000",NULL,"2004-08-12 01:00:00.000000",NULL
1095316569,Bangladesh,Bangladesh,"Bangora 1",NULL,"Block 9",Onshore,23.70988111111111,90.98676166666667,2623340.284,294774.793,2623557.370556661,294746.1561853164,Exploration,Land,3635,Gas,8,-5.7,0,NULL,NULL,NULL,NULL,48,1095325384,92,-61727124,77,NULL,NULL,"2004-06-02 15:00:00.000000",NULL
1095329846,Bangladesh,Bangladesh,"Bakhrabad 1",NULL,"Block 9",Onshore,23.635555555555555,90.87305555555555,0,0,2615493.52052769,283027.288678221,Exploration,Land,2838,Gas,0,0,0,NULL,NULL,NULL,NULL,NULL,1095325384,10,-61727124,NULL,NULL,NULL,"1968-09-25 12:00:00.000000",NULL
1095330786,Bangladesh,Bangladesh,"Lalmai 3",NULL,"Block 9",Onshore,23.3678888888889,91.1351352777778,2585263.002,309411.01,2585476.59112861,309384.438932364,Exploration,Land,2800,"Dry Hole P&A",7.8,-38,0,NULL,NULL,NULL,NULL,48,1095325384,93,-61727124,NULL,"2004-02-17 12:00:00.000000","2004-05-13 10:00:00.000000","2004-03-08 19:00:00.000000",NULL
1096541302,Bangladesh,Bangladesh,"Kutubdia 1",NULL,"Block 16",Onshore,21.7598525,91.2181983333333,0,0,2407308.69244116,315751.196592981,Exploration,Offshore,3505,Gas,22.9,8.2,0,NULL,NULL,NULL,NULL,NULL,NULL,95,-61727124,NULL,NULL,"1977-01-25 12:00:00.000000","1976-12-07 12:00:00.000000",NULL
1096595680,Bangladesh,Bangladesh,"Begumgonj 1",NULL,"Block 10",Onshore,22.9880555555556,91.1675,0,0,2543370.89254337,312163.67271942,NULL,Offshore,0,Gas,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,67,-61727124,NULL,NULL,NULL,"1976-01-19 12:00:00.000000",NULL
1101139420,Pakistan,Pakistan,"Gupchani 1",NULL,Nawabshah,Sindh,26.182222222222222,68.60972222222222,945655.195,2205246.624,2895922.6565956455,461002.1797539108,Exploration,Land,3311,"Dry Hole P&A",9,-24,0,NULL,NULL,NULL,NULL,65,1101969887,94,153800183,120,"2000-10-30 09:00:00.000000","2001-01-17 11:00:00.000000","2000-11-15 20:00:00.000000",NULL
1101202332,Pakistan,Pakistan,"Sara 1",NULL,"East Badin Extension Block B",Sindh,27.8249722222222,70.1015083333333,3078040.836,608466.058,3078300.67050216,608481.365671915,Exploration,Land,3185,Gas,8,-95,0,NULL,NULL,NULL,NULL,18,NULL,94,153800183,40,NULL,NULL,"1994-05-27 12:00:00.000000",NULL
1101204857,Pakistan,Pakistan,"Khan 1",NULL,"East Badin Extension Block B",Sindh,27.8139163888889,70.0376388888889,3076761.349,602186.752,3077021.05796523,602201.172991725,Exploration,Land,1369,"Dry Hole P&A",9.5,-77,0,NULL,NULL,NULL,NULL,65,NULL,94,153800183,89,NULL,NULL,"2000-09-16 20:00:00.000000",15
1101217074,Pakistan,Pakistan,"Sara 2",NULL,"East Badin Extension Block B",Sindh,27.8367611111111,70.0775777777778,3079325.804,606097.978,3079585.76201563,606112.95131714,Appraisal,Land,1173,"Dry Hole P&A",7.6,-71.6,0,NULL,NULL,NULL,NULL,18,NULL,94,153800183,40,"1996-05-16 06:00:00.000000","1996-07-07 12:00:00.000000","1996-06-19 18:00:00.000000",NULL
